STT,Quan,Duong,Link,Lng,Lat
94,Quận Bình Thạnh,Phạm Văn Đồng - Phan Văn Trị 2,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58d7c20ac1e33c00112b321c,106.6948092,10.82076594
95,Quận 2,Cầu Sài Gòn (Q2-Bình Thạnh),http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=589d0b74b3bf7600110283d4,106.7311585,10.79971014
96,Quận Tân Bình,Trường Chinh - Âu Cơ,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=56df807bc062921100c143da,106.6364872,10.80191801
97,Quận Tân Bình,Trường Chinh - Phạm Văn Bạch 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=586e266ef9fab7001111b0b0,106.6331506,10.81408473
98,Quận 2,Cầu Bà Dạt 2,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58d8ebd2dc195800111e0429,106.7561781,10.79362392
99,Huyện Nhà Bè,Cầu Rạch Tôm (Long An),http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=591c6467a6bfb50011940096,106.6978884,10.6722901
100,Quận 2,Mai Chí Thọ - Đường dẫn cầu Thủ Thiêm 2,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=56de42f611f398ec0c481286,106.7229187,10.77338304
101,Quận Tân Bình,Thăng Long - Cộng Hòa,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58df50ffdc195800111e04c0,106.6607559,10.80094845
102,Quận Thủ Đức,Cầu vượt nút giao thông Gò Dưa,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=587464e2b807da0011e33cd9,106.7331326,10.86995888
103,Quận 2,Đồng Văn Cống - Cầu Giồng Ông Tố 2,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=5874461db807da0011e33c9c,106.7525572,10.78406487
104,Huyện Bình Chánh,Quốc lộ 1 - Cao tốc Trung Lương,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58afdbaebd82540010390c48,106.5925312,10.68941186
105,Quận Tân Bình,Hoàng Hoa Thám - Cộng Hòa,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58ad6214bd82540010390be2,106.6473663,10.80131204
106,Quận 3,Nam Kỳ Khởi Nghĩa - Võ Thị Sáu,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58af8a0bbd82540010390c25,106.6885436,10.78453387
107,Quận 5,Võ Văn Kiệt - Cầu Chữ Y 2,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=56de42f611f398ec0c48128e,106.6841018,10.75143325
108,Quận Bình Thạnh,Phạm Văn Đồng - Lê Quang Định 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=587ef859b807da0011e33d5b,106.6898686,10.82005462
109,Quận 8,Dương Bá Trạc - Tạ Quang Bửu 2,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58744e97b807da0011e33cb9,106.6890424,10.74698513
110,Quận 7,Nguyễn Văn Linh - Cầu Ông Lớn 3 làn,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58744810b807da0011e33ca2,106.6903138,10.72812204
111,Quận 8,Cầu Nhị Thiên Đường,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58c2717ed56e930010a39ac0,106.6560625,10.74180733
112,Huyện Bình Chánh,Quốc lộ 1-Nguyễn Hữu Trí 2,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58afcd9bbd82540010390c41,106.5966994,10.69655443
113,Huyện Bình Chánh,Võ Văn Kiệt - Tân Kiên 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=56de42f611f398ec0c48129c,106.6009426,10.71705346
114,Quận Tân Bình,Lê Văn Sỹ - Hoàng Văn Thụ,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=587c8661b807da0011e33d43,106.6605198,10.79996834
115,Quận Tân Bình,Phan Thúc Duyện - Trần Quốc Hoàn,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=56df857fc062921100c143e7,106.6634542,10.80264519
116,Quận 1,Tôn Đức Thắng - Lê Duẩn,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58af9a07bd82540010390c3b,106.7032635,10.7852927
117,Huyện Nhà Bè,Cầu Rạch Đĩa (HCM),http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=591c67dea6bfb500119400a1,106.6979098,10.7247488
118,Quận 8,Dương Bá Trạc - Tạ Quang Bửu 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58744e3eb807da0011e33cb7,106.6889191,10.7444132
119,Quận 8,Quốc lộ 50 - Tạ Quang Bửu 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58744dd9b807da0011e33cb5,106.6561908,10.73416215
120,Quận Gò Vấp,Ngã sáu Nguyễn Thái Sơn 3,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=56df8416c062921100c143e4,106.6785926,10.81439561
121,Quận 5,Võ Văn Kiệt - An Bình 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=56de42f611f398ec0c481290,106.6732925,10.74933569
122,Quận 3,Nam Kỳ Khởi Nghĩa - Điện Biên Phủ 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58af8b69bd82540010390c28,106.6909146,10.78327442
123,Huyện Hóc Môn,QL 22 - Nguyễn Văn Bứa 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=589b3ceeb3bf7600110283c3,106.5871722,10.88373482
124,Quận Bình Thạnh,Phan Đăng Lưu - Nguyễn Văn Đậu,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58ad7291bd82540010390bf9,106.6871971,10.80384133
125,Quận Phú Nhuận,Hoàng Văn Thụ - Nguyễn Văn Trỗi 2,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=587c8d97b807da0011e33d49,106.6691887,10.80010008
126,Quận 9,Xa lộ HN - Tây Hòa 2,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=56df82d4c062921100c143e0,106.7608666,10.82649333
127,Quận Thủ Đức,Quốc lộ 13 - Phạm Văn Đồng 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58affc6017139d0010f35cc8,106.7140138,10.82627203
128,Quận Thủ Đức,Quốc lộ 1 - Lê Thị Hoa,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=587463bab807da0011e33cd3,106.7483997,10.87477921
129,Quận 1,Võ Văn Kiệt - Ký Con 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=56de42f611f398ec0c481287,106.7004633,10.76544125
130,Quận 1,Nguyễn Huệ 21,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=584e7fd161cfea0012cf6983,106.7038697,10.77382044
131,Quận 9,XLHN - Đường D13,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58b57a6c17139d0010f35d65,106.8129873,10.87901472
132,Quận Phú Nhuận,Hoàng Văn Thụ - Nguyễn Văn Trỗi 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=56f11ac33ac17b11001c504c,106.6684109,10.7996311
133,Quận Tân Bình,Trường Sơn - Cửu Long,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=587475abb807da0011e33cea,106.6647899,10.80917384
